Episode 523 finished after 25 timesteps, total rewards -21
Episode 524 finished after 25 timesteps, total rewards -22
Episode 525 finished after 25 timesteps, total rewards -21
Episode 526 finished after 25 timesteps, total rewards -24
Episode 527 finished after 25 timesteps, total rewards -22
Episode 528 finished after 25 timesteps, total rewards -19
Episode 529 finished after 8 timesteps, total rewards 0
Episode 530 finished after 25 timesteps, total rewards -22
Episode 531 finished after 25 timesteps, total rewards -24
Episode 532 finished after 25 timesteps, total rewards -21
Episode 533 finished after 25 timesteps, total rewards -23
Episode 534 finished after 10 timesteps, total rewards -3
Episode 535 finished after 25 timesteps, total rewards -21
Episode 536 finished after 9 timesteps, total rewards -2
Episode 537 finished after 25 timesteps, total rewards -22
Episode 538 finished after 25 timesteps, total rewards -20
Episode 539 finished after 25 timesteps, total rewards -20
Episode 540 finished after 25 timesteps, total rewards -21
Episode 541 finished after 12 timesteps, total rewards -2
Episode 542 finished after 25 timesteps, total rewards -22
Episode 543 finished after 13 timesteps, total rewards -3
Episode 544 finished after 25 timesteps, total rewards -22
Episode 545 finished after 19 timesteps, total rewards -11
Episode 546 finished after 25 timesteps, total rewards -24
Episode 547 finished after 25 timesteps, total rewards -23
Episode 548 finished after 17 timesteps, total rewards -10
Episode 549 finished after 25 timesteps, total rewards -19
Episode 550 finished after 25 timesteps, total rewards -21
Episode 551 finished after 25 timesteps, total rewards -22
Episode 552 finished after 25 timesteps, total rewards -22
Episode 553 finished after 3 timesteps, total rewards 3
Episode 554 finished after 25 timesteps, total rewards -21
Episode 555 finished after 25 timesteps, total rewards -21
Episode 556 finished after 25 timesteps, total rewards -20
Episode 557 finished after 25 timesteps, total rewards -22
Episode 558 finished after 25 timesteps, total rewards -23
Episode 559 finished after 25 timesteps, total rewards -24
Episode 560 finished after 25 timesteps, total rewards -24
Episode 561 finished after 25 timesteps, total rewards -22
Episode 562 finished after 25 timesteps, total rewards -22
Episode 563 finished after 25 timesteps, total rewards -23
Episode 564 finished after 25 timesteps, total rewards -23
Episode 565 finished after 25 timesteps, total rewards -23
Episode 566 finished after 25 timesteps, total rewards -21
Episode 567 finished after 25 timesteps, total rewards -23
Episode 568 finished after 25 timesteps, total rewards -21
Episode 569 finished after 25 timesteps, total rewards -23
Episode 570 finished after 25 timesteps, total rewards -21
Episode 571 finished after 25 timesteps, total rewards -20
Episode 572 finished after 25 timesteps, total rewards -21
Episode 573 finished after 25 timesteps, total rewards -23
Episode 574 finished after 25 timesteps, total rewards -20
Episode 575 finished after 25 timesteps, total rewards -25
Episode 576 finished after 25 timesteps, total rewards -23
Episode 577 finished after 25 timesteps, total rewards -24
Episode 578 finished after 25 timesteps, total rewards -21
Episode 579 finished after 25 timesteps, total rewards -24
Episode 580 finished after 25 timesteps, total rewards -24
Episode 581 finished after 25 timesteps, total rewards -23
Episode 582 finished after 14 timesteps, total rewards -7
